+-------+---------------------+
| epoch |      train loss     |
+-------+---------------------+
|   1   |  14.430056687013035 |
|   2   |  2.102365763485406  |
|   3   |  1.1011735883597236 |
|   4   |  0.9227402314681848 |
|   5   |  0.9642240019732419 |
|   6   |  0.8776203384130068 |
|   7   |  0.7695788441217496 |
|   8   |  0.7441787962536114 |
|   9   |  0.6779421007435636 |
|   10  |  0.6082113798082469 |
|   11  |  0.7024613597683653 |
|   12  |  0.6115183033583854 |
|   13  |  0.5623713440589164 |
|   14  |  0.5687847226680365 |
|   15  |  0.5423133235311834 |
|   16  |  0.5373128197988869 |
|   17  | 0.42133318008985693 |
|   18  |  0.3736744627235508 |
|   19  |  0.3549638157133347 |
|   20  | 0.33765130173971136 |
|   21  | 0.32053658523608664 |
|   22  |  0.3453762153756446 |
|   23  | 0.30564551007567076 |
|   24  |  0.2880671641256135 |
|   25  |  0.2761654852576899 |
|   26  |  0.2678828976742734 |
|   27  |  0.2560727609592704 |
|   28  | 0.24274043265978082 |
|   29  | 0.23146613789704346 |
|   30  | 0.21837631885417574 |
|   31  |  0.2102841487235769 |
|   32  | 0.20295887063398388 |
|   33  | 0.19471533336099717 |
|   34  | 0.18517285930275101 |
|   35  | 0.17683449023864686 |
|   36  |  0.1698112847612177 |
|   37  |  0.1634613448492442 |
|   38  | 0.15823239605625108 |
|   39  | 0.15475924502115487 |
|   40  | 0.15284476268022168 |
+-------+---------------------+
