doc_id,cat
3309447308877403623,2107
3742269448336313054,839
1918118546589451270,1813
8458795615746381061,2108
2287746377461905849,2552
4445993740506200666,410
1730479960167878387,1446
7004325705820351286,2839
9038320598456954164,3060
8285629185494883704,1039
2803904070649635710,1576
7137713617934733079,1420
8841282993183094035,1163
5085416391382506403,304
8957160988651446843,1989
3688606676584995084,583
5013768221553038870,1906
2486498854314568719,2147
3418702081333061608,1896
1519681844857365138,629
1714623069919151426,1914
8716248111781467154,2427
2050636894446086982,2927
3290255709566299873,112
3087329565750503085,958
8734160730185658827,1561
4544508469868173294,2607
7834982225841577843,821
6027279354335382659,1192
2776530101555218441,2620
26096597892442527,617
5235803328846732925,847
3998904961039807911,434
7947192401121394108,1682
8764761332288065980,2772
5412837948453105048,2491
7820681337847416141,987
1067219277405705094,2634
4799716685058123420,2160
268829007423548338,2609
300354552897925624,2319
4774986166915307348,2720
1593223242291466657,2536
1134632852639112862,1871
7192985431915292843,437
464800313234286533,1679
703159284878583048,2064
2298870216603080927,1101
2302142673295157527,1210
5513216593074708626,1705
7396695709785636986,3037
4772981235448007213,2979
7373160517985305051,1137
1523395660686702437,306
5053032503063384014,843
1037567800552662132,746
2747467321450993714,1043
1907922479978936441,1590
3725999586117507196,2705
5595658549673392982,1604
1459024787096954392,2079
5046776793239693046,2613
7102117095298627290,31
2548801127204992051,2604
5154786217820166,373
3173849311223065472,1675
5329570635485997697,1225
5364023303350811961,2199
2536109005760276142,1610
5221680587396859974,1597
6695878906816500333,1645
5873065169153972192,982
180084072957661237,3042
4940144015083355006,1790
6352936464071513553,1105
8977129244192338356,383
8721367067404030781,497
421369608956043319,2830
8568641376285281302,3021
4491098102254068038,2353
4565248635974978783,1761
7202523518500383970,2075
3585534045953050813,2766
3292112942350394496,2139
8933876642975155171,46
2720763647486378636,1997
5135963987667362427,2979
5984480244269772638,1292
8604790109041291157,998
4899878709729261931,18
4840729251618121383,2307
3216479428912089790,2531
6160336801525011163,1759
4598868843817744450,3042
5330795869571644747,2531
7200551592340573028,520
4643319641165373489,1615
511383428955373201,2865
8495330158707500217,317
1160897300370265290,1358
5035573605903428830,2079
1233435382721968986,2951
8669698080860832186,2833
1912433787270263761,87
4290901961497401673,1412
7691421894707149020,717
7160420117189932653,292
1121506024437288283,641
2892331306574117062,1462
384631448529731050,1037
7038118077468653221,2025
4839896393106731651,961
5144704895675358304,1291
6832043237353040467,180
1799623321001730925,1101
6227314943400330220,3027
336089574956089719,1441
4287365335222371824,1660
1866306279206747237,1107
3834428578549867048,1561
3772669755299243273,2496
6330189590902281304,1174
7703881976409621600,2619
4262597860041868014,999
3706158372382357296,207
1286377823551665513,1237
8553011113442376157,2643
8962020549484415525,1526
5762915459992929985,149
4598782105295583023,1297
6484681956987801447,2925
3573589608147731194,2400
2391626172856350443,2928
6350697392840953555,937
5444170572494044897,1315
4055227945126078739,1392
2447681343147760986,486
3638956799965190400,647
5079215214773491772,753
4649028851261965667,2268
7160701101095516721,1887
6054893935306470623,389
5428711232005944004,1327
4515881739221695711,354
4826740217927717294,1625
3367151029944656524,2751
8059143807850118065,913
7512859323170734004,234
451153682949526565,2400
2218858162297172899,2019
6538640361712051730,2502
6544045786511511982,669
7540665112925366938,1998
1158586444318921369,3042
966255454376997227,576
7904708863128920274,168
6572448431704374192,1725
699238515407533539,1345
7705681442353859688,2331
2535376417358973813,616
6528114883810821729,1225
4050275138446290985,1914
8135943339728311335,173
2676485486593741749,2320
7840884561139590158,1130
1494888728363882106,2210
1814139492572154184,1316
1594821457312735996,2211
3026097100702784103,1334
996317445854340307,717
1591070821530096196,2657
5615176820567699804,3016
2723699566610078626,1110
1642090452653932427,2762
4036438905150894813,2854
8954458235094885579,2640
793846184133087512,1414
39205457913190573,1789
6423834618616390543,37
3397935474891954081,664
8172274761679283962,2590
437840697203810353,723
1789954166536367499,235
2443788601532112645,1220
4300987537106688306,2813
2462177549536541135,2408
1768126834243499822,968
6286418932458792636,2584
2640154709109584672,1668
4374360813457093286,1037
3068186894316210445,2530
3739564067893308476,948
5395106301137382525,2805
2674600660839689390,2525
3098295976577738037,1736
2944341774481317137,2994
8553234643682474494,507
3608396662694227124,1500
3026483293154870301,3008
2751575777808967691,2277
7784755740609666352,749
312745610008361090,1075
3597423826571008758,2718
1336054848561937863,716
4408506651265124383,1277
2244143387526849410,99
4397725831893296018,569
4477130882577627233,1529
3817628868544759840,3045
9160694061411418068,472
1627232307221737827,2355
102748484021778327,598
2968313678538368913,1753
8186001484008748419,308
2779352606464094550,2205
4640911355799625756,2430
7454797035833467414,501
6177051041286830341,2519
5618272171089628069,1603
9186112336901292637,2501
1685627704331716426,2071
4475578624080186906,651
4616525837837869679,2978
